County,County_Num,Female_Pop,Male_pop,Total_Population,Under_18_Population,18_to_49_years_population,50_to_64_years_population,65_and_over_Population,Female_cases,Male_cases,Total__gender_cases_w/o_unknown,under18_cases,18_to_49_cases,50_to_64_cases,65+_cases,Total_cases_by_age
ATLANTIC COUNTY,34001,136079.0,127591.0,263670.0,55537.0,101017.0,58089.0,49027.0,17255,15353,32608,4035,16432,7268,4676,32411
BERGEN COUNTY,34003,479536.0,452666.0,932202.0,196309.0,370475.0,200750.0,164668.0,54201,51968,106169,14645,51608,23955,15593,105801
BURLINGTON COUNTY,34005,226147.0,219202.0,445349.0,92159.0,177598.0,98227.0,77365.0,22639,22150,44789,5367,23317,10013,5833,44530
CAMDEN COUNTY,34007,262041.0,244430.0,506471.0,114223.0,209032.0,101686.0,81530.0,30803,27025,57828,7226,30336,12033,7740,57335
CAPE MAY COUNTY,34009,47171.0,44868.0,92039.0,15950.0,29627.0,21296.0,25166.0,4774,4598,9372,1103,4530,2206,1807,9646
CUMBERLAND COUNTY,34011,73366.0,76161.0,149527.0,35480.0,62520.0,28135.0,23392.0,9137,8976,18113,1863,9926,3779,2451,18019
ESSEX COUNTY,34013,414401.0,384574.0,798975.0,189397.0,346184.0,152292.0,111102.0,50547,45174,95721,12657,50349,20423,12237,95666
GLOUCESTER COUNTY,34015,149790.0,141846.0,291636.0,63099.0,117965.0,63000.0,47572.0,16416,14660,31076,3974,16371,6691,4067,31103
HUDSON COUNTY,34017,337404.0,334987.0,672391.0,136715.0,342843.0,110926.0,81907.0,44734,43143,87877,9333,49901,17990,10720,87944
HUNTERDON COUNTY,34019,63032.0,61339.0,124371.0,23712.0,44104.0,32469.0,24086.0,4886,4956,9842,1429,4709,2669,1320,10127
MERCER COUNTY,34021,187675.0,179755.0,367430.0,78062.0,158219.0,73662.0,57487.0,18535,17468,36003,3841,18972,7607,4769,35189
MIDDLESEX COUNTY,34023,417800.0,407262.0,825062.0,178792.0,354591.0,163916.0,127763.0,47020,46257,93277,11328,49689,20189,11890,93096
MONMOUTH COUNTY,34025,317732.0,301063.0,618795.0,129412.0,231092.0,145793.0,112498.0,40054,38292,78346,11516,38540,17754,10244,78054
MORRIS COUNTY,34027,249924.0,241921.0,491845.0,102477.0,190670.0,112212.0,86486.0,25564,25340,50904,6777,24842,12117,6984,50720
OCEAN COUNTY,34029,313896.0,293290.0,607186.0,146690.0,204381.0,117787.0,138328.0,40626,37572,78198,11074,37784,16043,13238,78139
PASSAIC COUNTY,34031,256949.0,244877.0,501826.0,119018.0,210572.0,97056.0,75180.0,38326,35962,74288,9218,38158,16786,9904,74066
SALEM COUNTY,34033,31838.0,30547.0,62385.0,13334.0,23616.0,13564.0,11871.0,3038,2705,5743,823,3047,1287,961,6118
SOMERSET COUNTY,34035,168004.0,160930.0,328934.0,70756.0,129627.0,75363.0,53188.0,15726,15410,31136,4072,15318,6944,4306,30640
SUSSEX COUNTY,34037,70685.0,69803.0,140488.0,27245.0,52567.0,35436.0,25240.0,6993,6978,13971,2085,6864,3625,1720,14294
UNION COUNTY,34039,284440.0,271901.0,556341.0,129858.0,232207.0,112309.0,81967.0,37259,35818,73077,9428,37953,16428,8937,72746
WARREN COUNTY,34041,53693.0,51574.0,105267.0,20353.0,39582.0,25620.0,19712.0,5114,4654,9768,1240,4793,2375,1542,9950
