date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
2020-01-22,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-01-23,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-01-24,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-01-25,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-01-26,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-01-27,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-01-28,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-01-29,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-01-30,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-01-31,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-01,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-02,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-03,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-04,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-05,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-06,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-07,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-08,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-09,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-10,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-11,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-12,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-13,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-14,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-15,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-16,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-17,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-18,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-19,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-20,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-21,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-22,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-23,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-24,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-25,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-26,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-27,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
2020-02-28,US,NJ,Atlantic County,34001,,,iso1:us#iso2:us-nj#fips:34001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,
