County,R-squared,Line Equation
Atlantic,[0.7440676628709001],['y = -0.0x +151.72']
Bergen,[0.7756166122670808],['y = -0.0x +553.44']
Burlington,[0.6966132034477633],['y = -0.0x +191.74']
Camden,[0.5417082886009167],['y = -0.0x +206.24']
Cape May,[0.6803880969311464],['y = -0.0x +46.27']
Cumberland,[0.32370026689130854],['y = -0.0x +51.72']
Essex,[0.6902541323439831],['y = -0.0x +463.56']
Gloucester,[0.5437815498884333],['y = -0.0x +123.23']
Hudson,[0.7896387033107611],['y = -0.0x +387.62']
Hunterdon,[0.6252240184857564],['y = -0.0x +55.85']
Mercer,[0.7278626032803074],['y = -0.0x +121.12']
Middlesex,[0.731116845486758],['y = -0.0x +418.96']
Monmouth,[0.7834776280855381],['y = -0.0x +428.54']
Morris,[0.7298153828262036],['y = -0.0x +297.61']
Ocean,[0.8213469355916172],['y = -0.0x +395.84']
Passaic,[0.6229251487640319],['y = -0.0x +301.51']
Salem,[0.23601498282858457],['y = -0.0x +23.2']
Somerset,[0.7472622465050549],['y = -0.0x +152.77']
Sussex,[0.5421363726424014],['y = -0.0x +94.77']
Union,[0.7567202898949013],['y = -0.0x +295.94']
Warren,[0.6422756105787173],['y = -0.0x +56.39']
